verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
verdesol,0,-10,33,255
laranjare,0,-19,72,82
verdefa1,0,23,113,21
vermelhodo1,0,-3,93,43
amarelomi,0,0,54,173
lilassi,0,-10,39,345
